annotation_id,annotator,created_at,id,lead_time,review,sentiment,updated_at
1,1,2026-02-14T12:58:11.367731Z,1,33.001,This movie is a triumph in every sense. Highly recommended for everyone.,Positive,2026-02-14T12:58:11.367744Z
2,1,2026-02-14T12:58:20.903575Z,2,9.41,I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.,Negative,2026-02-14T12:58:20.903600Z
3,1,2026-02-14T12:58:28.827622Z,3,7.803,I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.,Positive,2026-02-14T12:58:28.827645Z
4,1,2026-02-14T12:58:37.999681Z,4,9.047,The trailer was better than the movie. The acting was frankly tedious. A complete misfire.,Negative,2026-02-14T12:58:37.999711Z
5,1,2026-02-14T12:58:48.276560Z,5,10.156,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.",Neutral,2026-02-14T12:58:48.276582Z
6,1,2026-02-14T13:07:30.859695Z,6,522.452,It perfectly balances humor and drama. I was hooked from the very first minute.,Positive,2026-02-14T13:07:30.859716Z
7,1,2026-02-14T13:07:37.690274Z,7,6.711,I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.,Negative,2026-02-14T13:07:37.690293Z
8,1,2026-02-14T13:07:44.116330Z,8,6.307,Nothing about the acting worked. What a complete waste of potential.,Negative,2026-02-14T13:07:44.116368Z
9,1,2026-02-14T13:07:50.052222Z,9,5.813,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.",Neutral,2026-02-14T13:07:50.052254Z
10,1,2026-02-14T13:08:57.314930Z,10,67.141,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.",Positive,2026-02-14T13:08:57.314964Z
11,1,2026-02-14T13:09:39.145257Z,11,41.707,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.",Positive,2026-02-14T13:09:39.145274Z
12,1,2026-02-14T13:09:48.345643Z,12,9.083,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.",Neutral,2026-02-14T13:09:48.345666Z
13,1,2026-02-14T13:14:42.958396Z,13,294.493,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.",Neutral,2026-02-14T13:14:42.958416Z
14,1,2026-02-14T13:15:04.440009Z,14,21.359,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.",Positive,2026-02-14T13:15:04.440044Z
15,1,2026-02-14T13:15:14.033085Z,15,9.47,I am confused about how I feel. It left me puzzled.,Neutral,2026-02-14T13:15:14.033112Z
