"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
1,"1","2026-02-14T13:00:02.957162Z",1,11.355,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-14T13:00:02.957179Z"
2,"1","2026-02-14T13:00:23.150886Z",2,7.031,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-14T13:00:23.150900Z"
3,"1","2026-02-14T13:01:33.507098Z",3,70.029,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-14T13:01:33.507112Z"
4,"1","2026-02-14T13:01:41.258564Z",4,7.494,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-14T13:01:41.258580Z"
5,"1","2026-02-14T13:01:52.909259Z",5,11.405,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-14T13:01:52.909286Z"
6,"1","2026-02-14T13:02:00.994088Z",6,7.883,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-14T13:02:00.994098Z"
7,"1","2026-02-14T13:02:08.397705Z",7,7.192,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-14T13:02:08.397717Z"
8,"1","2026-02-14T13:02:13.118514Z",8,4.518,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-14T13:02:13.118543Z"
9,"1","2026-02-14T13:02:22.325069Z",9,9.023,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-14T13:02:22.325087Z"
10,"1","2026-02-14T13:02:28.787176Z",10,6.224,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-14T13:02:28.787187Z"
11,"1","2026-02-14T13:02:36.864168Z",11,7.891,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-14T13:02:36.864181Z"
12,"1","2026-02-14T13:02:50.354901Z",12,13.274,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-14T13:02:50.354915Z"
13,"1","2026-02-14T13:02:57.810567Z",13,7.263,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Neutral","2026-02-14T13:02:57.810585Z"
14,"1","2026-02-14T13:03:03.974707Z",14,5.991,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-14T13:03:03.974738Z"
15,"1","2026-02-14T13:03:08.732446Z",15,4.543,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-14T13:03:08.732458Z"
16,"1","2026-02-14T13:03:28.943657Z",16,19.988,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-14T13:03:28.943677Z"
17,"1","2026-02-14T13:03:34.439468Z",17,5.267,"Total garbage. Zero stars if I could give it.","Negative","2026-02-14T13:03:34.439483Z"
18,"1","2026-02-14T13:03:41.453669Z",18,6.808,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","Positive","2026-02-14T13:03:41.453682Z"
19,"1","2026-02-14T13:03:46.976048Z",19,5.338,"I tried to like it, I really did, but it failed. I walked out halfway through.","Negative","2026-02-14T13:03:46.976060Z"
20,"1","2026-02-14T13:03:59.723330Z",20,12.548,"I am confused about how I feel. Your mileage may vary significantly.","Neutral","2026-02-14T13:03:59.723341Z"
21,"1","2026-02-14T13:04:06.962987Z",21,7.061,"I have mixed feelings about this one. You won't remember it a week from now.","Neutral","2026-02-14T13:04:06.963002Z"
22,"1","2026-02-14T13:04:12.051080Z",22,4.88,"I didn't expect to enjoy this as much as I did. It perfectly balances humor and drama. Do yourself a favor and go see this.","Positive","2026-02-14T13:04:12.051092Z"
23,"1","2026-02-14T13:04:18.609601Z",23,6.322,"The costume design distracted me from everything else. I struggled to sit through the first half.","Negative","2026-02-14T13:04:18.609620Z"
24,"1","2026-02-14T13:04:27.808373Z",24,8.914,"The visual effects were superb and added so much depth. This movie is a triumph in every sense.","Positive","2026-02-14T13:04:27.808389Z"
25,"1","2026-02-14T13:04:46.030492Z",25,18.029,"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.","Positive","2026-02-14T13:04:46.030507Z"
26,"1","2026-02-14T13:04:51.156612Z",26,4.894,"I have never been so bored in my life. Utterly disappointing.","Negative","2026-02-14T13:04:51.156625Z"
27,"1","2026-02-14T13:04:56.995712Z",27,5.631,"A refreshing take on a tired genre. Don't miss this one.","Positive","2026-02-14T13:04:56.995725Z"
28,"1","2026-02-14T13:05:04.402188Z",28,7.211,"Ideally, this should have been great, but something was off. I think I need to watch it again to decide.","Neutral","2026-02-14T13:05:04.402207Z"
29,"1","2026-02-14T13:05:08.155524Z",29,3.525,"What a complete waste of potential. It’s a hard pass from me.","Negative","2026-02-14T13:05:08.155536Z"
30,"1","2026-02-14T13:05:14.252044Z",30,5.932,"Great concept, but the execution was jarring. It’s a weird mix of brilliance and stupidity.","Neutral","2026-02-14T13:05:14.252059Z"
31,"1","2026-02-14T13:05:28.011087Z",31,13.529,"Ideally, this should have been great, but something was off. It tries to be deep, but comes off as amateurish despite the flawless music. I think I need to watch it again to decide.","Neutral","2026-02-14T13:05:28.011105Z"
32,"1","2026-02-14T13:05:34.728233Z",32,6.461,"This is a very difficult movie to categorize. The first half was intense, but the ending was tedious. Your mileage may vary significantly.","Neutral","2026-02-14T13:05:34.728248Z"
33,"1","2026-02-14T13:05:41.599928Z",33,6.68,"This is a very difficult movie to categorize. The first half was phenomenal, but the ending was cheap. It’s definitely not for everyone.","Neutral","2026-02-14T13:05:41.599955Z"
34,"1","2026-02-14T13:05:48.691455Z",34,6.861,"This might be the worst thing I've seen all year. The plot holes were glaring and the cinematography was pretentious. Avoid this at all costs.","Negative","2026-02-14T13:05:48.691471Z"
35,"1","2026-02-14T13:05:52.010863Z",35,3.121,"I am confused about how I feel. The first half was flawless, but the ending was nonsensical. I think I need to watch it again to decide.","Neutral","2026-02-14T13:05:52.010877Z"
